CHEMBL1047,CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
CHEMBL104875,N[C@H](Cc1c[nH]cn1)C(=O)O
CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
CHEMBL105076,CC(CNS(=O)(=O)C(C)C)c1ccc(NC(=O)c2ccccc2)cc1
CHEMBL105139,CNc1nc2c(Cc3cccnc3)c(C)c(O)c(C)c2s1
CHEMBL1054,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
CHEMBL1057,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
CHEMBL1058,COc1ccc2[nH]c(C)c(CC(=O)O)c2c1
CHEMBL105890,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O
CHEMBL1059,CC(C)C[C@H](CN)CC(=O)O
CHEMBL1062,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
CHEMBL106265,Cn1c(=O)c2nc(C3CCCC3)[nH]c2n(C)c1=O
CHEMBL1064,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CHEMBL1065,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
CHEMBL106562,COC1=CC(=O)c2ccccc2C1=O
CHEMBL1066,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
CHEMBL1069,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
CHEMBL1070,COc1ccc2cc(CCC(C)=O)ccc2c1
CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
CHEMBL107131,COc1cc(OC)c2c(c1)OC(c1ccccc1)CC2=O
CHEMBL1072,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
CHEMBL107201,N=C(N)SCCc1cccc(CCSC(=N)N)c1
CHEMBL107251,CC(=N)NCc1cccc(CN)c1
CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
CHEMBL107367,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1
CHEMBL107400,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1
CHEMBL107498,CCCCCCCCCC(=O)O
CHEMBL1075,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2
CHEMBL107511,CCc1ccc2[nH]cc(CCN)c2c1
CHEMBL107528,CCCNC(=N)NCCC[C@H](N)C(=O)O
CHEMBL1076,COc1ccc(OC)c(C(O)CN)c1
CHEMBL1076211,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1
CHEMBL1076347,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1
CHEMBL107635,O=C(O)CCc1cc(O)c2n(c1=O)C(C(=O)O)CC2
CHEMBL1076430,COc1ccc2c(c1CC=C(C)C)O[C@H]1c3ccc(O)cc3OC[C@@]21OC
CHEMBL1076438,CC1(C)[C@H](O)CC[C@]2(C)[C@@]3(C)c4[nH]c5ccccc5c4C[C@@H]3CC[C@@]12O
CHEMBL1076544,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl
CHEMBL1076554,Cc1cccc(O)c1C(=O)C1=CCCN2CCC[C@@H]12
CHEMBL1076754,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO
CHEMBL1076831,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H]([C@@H](C)CC)N2C(=O)[C@H](CC[C@H]2OC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](O)CO)[C@@H](C)OC1=O
CHEMBL1076839,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H]([C@@H](C)CC)N2C(=O)[C@H](CC[C@H]2O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)O)OS(=O)(=O)O)[C@@H](C)OC1=O
CHEMBL1076903,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1
CHEMBL1076911,CC1(C)[C@H](O)CC[C@@]2(C)[C@@H]3CC[C@](C)([C@@H](O)CO)C=C3CC[C@H]12
CHEMBL1077122,C=C(C=O)C[C@@H]1C[C@H](O)[C@]2(C)O[C@@H]3C[C@@H]4O[C@@H]5C[C@]6(C)O[C@]7(C)CC[C@@H]8O[C@@H]9C[C@]%10(C)O[C@@H]%11C(C)=CC(=O)O[C@H]%11C[C@H]%10O[C@H]9C[C@@H](C)[C@H]8O[C@H]7C[C@H]6O[C@H]5C/C=C\[C@H]4O[C@H]3C[C@H]2O1
CHEMBL1077438,CCCCCCCCCCCCCCCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1
